"Type of Garden","Where is the garden","Date Added","Provides pollinator habitat","Provides pollinator food source","Does not use pesticides","Latitude, Longitude","Link to Image"
"Private Citizen","Private Residence","2013-09-20T14:50:12.547Z",false,false,false,https://s3.amazonaws.com/gapp-map/22976f94609ee9ae71133780a646898f.jpg,["33.76031114655759","-84.40109252929688"]
"Private Citizen","Private Residence","2013-09-27T12:44:56.895Z",false,false,false,https://s3.amazonaws.com/gapp-map/b80c0bebbc579be350a09b7bbf4931d4.jpg,["33.81281382470339","-84.41619873046875"]
"Private Citizen","Private Residence","2013-09-27T13:38:00.956Z",false,false,false,,["33.863003644780136","-84.32144165039061"]
"Students(s)","Business","2013-11-18T19:32:00.597Z",true,true,false,https://s3.amazonaws.com/gapp-map/ef284b72c84bf9b6e2b3a006664dbef5.jpg,["33.76944435930207","-84.38735961914062"]
"Private Citizen","Private Residence","2013-11-18T19:36:21.256Z",false,false,false,,["33.793699728538805","-84.38238143920898"]
"Private Citizen","Private Residence","2013-11-18T19:36:42.296Z",true,true,true,https://s3.amazonaws.com/gapp-map/7599f7eca7703490a3fac47c3aa609c1.jpg,["33.73861586584874","-84.37002182006836"]
"Private Citizen","Private Residence","2013-11-18T19:37:01.032Z",true,true,true,https://s3.amazonaws.com/gapp-map/389d5e1ccf3100bc1c0c03eb1ab4a10c.jpg,["33.74575307715579","-84.36152458190918"]
"Private Citizen","Private Residence","2013-11-19T16:39:26.008Z",false,false,false,https://s3.amazonaws.com/gapp-map/7f5b7686f4860066e0d9b8a2b3cb5313.jpg,["33.823937974374765","-84.28264617919922"]
"Private Citizen","Private Residence","2013-11-19T16:46:22.135Z",false,false,false,,["33.79869262825568","-84.3966293334961"]
"Private Citizen","Private Residence","2013-11-19T17:05:33.631Z",true,true,false,https://s3.amazonaws.com/gapp-map/9f62c990d1956583deda47761f0438f3.jpg,["33.7797180601201","-84.35199737548827"]